USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
424880,99999,CHAPRA,IN,,,25.783,84.733,58.0,20051019,20230505
424920,99999,PATNA,IN,,VEPT,25.591,85.088,51.8,19440101,20230505
424980,99999,BHAGALPUR,IN,,,25.233,86.95,49.0,19570102,20230505
424990,99999,SABAUR,IN,,,25.233,87.067,37.0,20020614,20230505
425000,99999,PURNEA,IN,,,25.267,87.467,38.0,19440101,20230505
425030,99999,MALDA,IN,,,25.033,88.133,31.0,19730101,20230505
425060,99999,BALURGHAT,IN,,,25.217,88.783,26.0,20151207,20230505
425110,99999,TURA,IN,,,25.517,90.233,370.0,19730101,20021123
425120,99999,SHILLONG ARPT/UMROI ARPT,IN,,VEBI,25.7,91.983,891.2,20151208,20230505
425150,99999,CHERRAPUNJI,IN,,,25.25,91.733,1313.0,19440101,20230505
425160,99999,SHILLONG,IN,,,25.567,91.883,1598.0,19440101,20230505
425220,99999,HAFLONG,IN,,,25.167,93.017,682.0,20151207,20230505
425230,99999,LUMDING,IN,,,25.75,93.183,149.0,19730101,20230505
425270,99999,KOHIMA,IN,,,25.633,94.167,1406.0,19770923,20230505
427051,99999,KULLU MANALI,IN,,VIBR,31.877,77.154,1089.1,20040707,20230505
427052,99999,CHANDIGARH,IN,,VICG,30.673,76.789,308.5,20060812,20230505
427053,99999,LEH,IN,,VILH,34.136,77.547,3255.9,20060905,20230505
433990,99999,PARO,BT,,VQPR,27.403,89.425,2234.8,20101206,20230505
435410,99999,SONAMARG          &,IN,,,34.317,75.317,2515.0,19440101,19631112
435420,99999,DRAS,IN,,,34.433,75.767,3066.0,19550430,19631230
444040,99999,DADELDHURA,NP,,,29.3,80.583,1848.0,19780301,20230505
444060,99999,DIPAYAL,NP,,,29.25,80.95,617.0,20051012,20230505
444090,99999,DHANGADHI (ATARIYA),NP,,,28.8,80.55,187.0,20051012,20230505
444160,99999,SURKHET,NP,,VNSK,28.6,81.617,720.0,19761101,20230505
444180,99999,NEPALGUNJ AIRPORT,NP,,,28.1,81.667,165.0,20051012,20230505
444240,99999,JUMLA,NP,,VNJL,29.283,82.167,2300.0,19750913,20230505
444290,99999,DANG,NP,,,28.05,82.5,634.0,20051012,20230505
444340,99999,POKHARA,NP,,VNPK,28.201,83.981,826.6,19770207,20230505
444380,99999,BHAIRAHAWA,NP,,VNBW,27.506,83.416,109.1,19770302,20230505
444490,99999,SIMARA,NP,,VNSI,27.159,84.98,137.2,19740110,20230505
444540,99999,TRIBHUVAN INTL,NP,,VNKT,27.697,85.359,1338.1,19730521,20230505
444600,99999,JIRI,NP,,VNJI,27.633,86.233,2003.0,19780722,19780722
444610,99999,SYANGBOCHE,NP,,,27.817,86.717,3700.0,19761101,19800210
444620,99999,OKHALDHUNGA,NP,,,27.3,86.5,1720.0,19761101,20230505
444740,99999,TAPLEJUNG,NP,,VNTJ,27.35,87.667,1732.0,19780701,20230505
444770,99999,DHANKUTA,NP,,,26.983,87.35,1210.0,19761101,20230505
444780,99999,BIRATNAGAR,NP,,VNVT,26.481,87.264,71.9,19770208,20230505
480010,99999,PUTAO,BM,,VBPT,27.333,97.417,409.0,19430301,20230505
480040,99999,HKAMTI,BM,,,26.0,95.7,146.0,19820306,20230505
480080,99999,MYITKYINA,BM,,VBMK,25.367,97.4,147.0,19440713,20230505
517050,99999,AR-TUX,CH,,,39.667,76.167,1494.0,19560820,19971231
517060,99999,TEJAN,CH,,,39.7,76.35,,19560820,19570930
517090,99999,KASHI,CH,,ZWSH,39.543,76.02,1380.4,19571004,20230505
517160,99999,BACHU,CH,,,39.8,78.567,1117.0,19560820,20230505
517470,99999,TAZHONG,CH,,,39.0,83.667,1099.0,20010915,20230505
517770,99999,RUOQIANG,CH,,,39.033,88.167,889.0,19560820,20230428
518040,99999,P U-LI,CH,,,37.783,75.233,3159.0,19570201,19600328
518110,99999,SHACHE,CH,,,38.433,77.267,1232.0,19560820,20230505
518180,99999,PISHAN,CH,,,37.617,78.283,1376.0,19610301,20230505
518280,99999,HOTAN,CH,,ZWTN,37.133,79.933,1375.0,19560820,20230505
518390,99999,MINFENG,CH,,,37.067,82.717,1409.0,19600101,19971231
518480,99999,ANDIR,CH,,,37.933,83.65,1264.0,19620302,19971231
518550,99999,QIEMO/QARQAN,CH,,,38.15,85.55,1248.0,19560820,19971231
518860,99999,MANGNAI,CH,,,38.25,90.85,2945.0,19610801,20230505
518950,99999,ZILIUJING WEST,CH,,,37.85,91.483,3061.0,19560820,19610705
519150,99999,SOGAT SOUTHWEST,CH,,,36.333,78.0,3700.0,19570629,19600131
519310,99999,YUTIAN/KERIYA,CH,,,36.867,81.7,1554.0,19560820,19971231
524470,99999,JINTA,CH,,,39.817,98.9,1372.0,19890101,19970514
525230,99999,APPROXIMATE LOCALE,CH,,,39.833,96.75,0.0,19801001,19840611
525330,99999,JIUQUAN/SUZHOU,CH,,ZLJQ,39.767,98.483,1478.0,19460331,20230505
525331,99999,ZHONGCHUAN,CH,,ZLLL,36.515,103.62,1947.1,20040713,20230505
525360,99999,JIAYUGUAN SOUTHWEST,CH,,,39.617,98.05,2154.0,19610903,19610930
525460,99999,GAOTAI WEST,CH,,,39.383,99.717,1354.0,19560820,19611031
525760,99999,LAI-YEN-CH'IH,CH,,,39.383,102.833,1383.0,19570601,19971231
526020,99999,LENGHU,CH,,,38.833,93.383,2771.0,19570701,20230505
526180,99999,DANGCHENGWAN SOUTH,CH,,,39.167,94.833,3746.0,19620302,19620430
526330,99999,TUO-LE,CH,,,38.8,98.417,609.0,19610902,19971231
526450,99999,YEH-NIU-KOU,CH,,,38.467,99.55,2169.0,19600301,19970514
526510,99999,ZHANG-YE/SOUTH,CH,,,38.817,100.4,1493.0,19560820,20011205
526520,99999,ZHANGYE,CH,,,39.083,100.283,1462.0,19600101,20230505
526530,99999,ZHANG-YE/SOUTHEAST,CH,,,38.8,100.667,1463.0,19731109,20011012
526570,99999,BABAO,CH,,,38.233,100.25,2700.0,19600101,19970514
526610,99999,SHAN-DAN,CH,,,38.8,101.083,1760.0,19560820,19970514
526740,99999,JIN-CHANG,CH,,,38.467,102.183,1676.0,19640101,19971231
526790,99999,CAIQI SOUTHEAST,CH,,,38.083,102.917,1525.0,19560820,19611031
526810,99999,MINQIN,CH,,,38.633,103.083,1367.0,19570502,20230505
527020,99999,SHA-LIANG-ZI,CH,,,37.917,93.35,0.0,19801005,20010903
527070,99999,T'A-ERH-TING,CH,,,37.067,92.867,2712.0,19570701,19971231
527130,99999,DA-QAIDAM,CH,,,37.85,95.367,3174.0,19570630,20230505
527370,99999,DELINGHA,CH,,,37.367,97.367,2982.0,19560820,20230505
527400,99999,HSIN-YUAN,CH,,,37.3,99.017,3627.0,19890928,19970514
527440,99999,KARMAR NORTHWEST,CH,,,37.5,98.8,3978.0,19610316,19620621
527530,99999,BOGUS CHINESE,CH,,,37.683,100.7,3353.0,19740612,19850306
527540,99999,GANGCA,CH,,,37.333,100.133,3302.0,19610316,20230505
527650,99999,HAO-MEN,CH,,,37.367,101.617,2682.0,19610901,19971231
527770,99999,XOLUNGLANG SE,CH,,,37.15,102.217,2934.0,19740425,19741203
527790,99999,TIANZHU NORTHEAST,CH,,,37.267,102.883,2728.0,19740423,19760112
527870,99999,WUSHAOLING,CH,,,37.2,102.867,3044.0,19560820,20230505
527880,99999,BOGUS CHINESE,CH,,,37.233,103.4,2415.0,19731101,20020922
527970,99999,CHING-T'AI,CH,,,37.133,104.217,1402.0,19620302,19970514
527980,99999,BOGUS CHINESE,CH,,,37.067,104.467,1829.0,19740427,20160421
528130,99999,GOL-MUD (?),CH,,,36.817,95.35,2731.0,19731109,20011126
528180,99999,GOLMUD,CH,,ZLGM,36.417,94.9,2809.0,19560820,20230505
528250,99999,NUO-MU-HONG,CH,,,36.45,96.467,2804.0,19570601,19971231
528330,99999,SERH,CH,,,36.95,98.35,2987.0,19890901,19970719
528360,99999,DOULAN,CH,,,36.3,98.1,3190.0,19560820,20230505
528380,99999,HSIANG-JIH-TE NE,CH,,,36.067,97.75,2976.0,19731108,19750414
528420,99999,CHA-KA,CH,,,36.783,99.083,2925.0,19610901,19971231
528560,99999,GONGHE,CH,,,36.35,100.783,2743.0,19560820,19971231
528660,99999,XINING,CH,,ZLXN,36.617,101.767,2262.0,19560820,20230505
528680,99999,HEY-IN,CH,,,36.033,101.433,2072.0,19620302,19971122
528760,99999,MINHE,CH,,,36.333,102.833,1905.0,19620302,19970513
528860,99999,APPROXIMATE LOCALE,CH,,,36.567,103.7,1951.0,19731108,20020803
528880,99999,LAN-ZHOU/CITY,CH,,ZLAN,36.117,103.617,1600.0,19740613,20020301
528890,99999,LANZHOU,CH,,,36.05,103.883,1518.0,19560820,19971231
528950,99999,JINGYUAN,CH,,,36.583,104.683,1505.0,19560820,19971231
529070,99999,BOGUS CHINESE,CH,,,35.167,92.833,4877.0,19740601,20020310
529080,99999,WUDAOLIANG,CH,,,35.217,93.083,4613.0,19570701,20230505
529400,99999,APPROXIMATE LOCALE,CH,,,35.5,99.333,0.0,19841101,19851116
529410,99999,NAME UNKNOWN,CH,,,35.717,98.917,3962.0,19900101,20101225
529420,99999,ZIKETAN WEST,CH,,,35.767,99.167,4723.0,19600101,19600430
529430,99999,XINGHAI,CH,,,35.75,99.983,3200.0,19600601,19970514
529470,99999,APPROXIMATE LOCALE,CH,,,35.167,98.75,0.0,19831203,19850625
529550,99999,GUINAN,CH,,,35.583,100.75,3123.0,20010802,20230505
529570,99999,TONGDE,CH,,,35.267,100.65,3290.0,19560820,19971231
529580,99999,APPROXIMATE LOCALE,CH,,,35.267,100.65,0.0,19731129,19890816
529680,99999,SON-AG,CH,,,35.033,101.467,3565.0,19620302,20020208
529780,99999,XIAHE NORTH,CH,,,35.233,102.5,3050.0,19560820,19580408
529830,99999,YU ZHONG,CH,,,35.867,104.15,1875.0,20040510,20230505
529840,99999,LINXIA,CH,,,35.467,102.983,1920.0,19620302,19970807
529860,99999,LINTAO,CH,,,35.333,104.0,1905.0,19570705,19970514
529960,99999,HUAJIALING,CH,,,35.383,105.0,2450.0,19560820,20230505
552280,99999,SHIQUANHE,CH,,,32.5,80.083,4280.0,19610701,20230505
552480,99999,LUMARINGBO,CH,,,32.3,84.05,4420.0,19730313,19971231
552790,99999,BAINGOIN,CH,,,31.367,90.017,4701.0,19570701,20230428
552940,99999,P'A-NA,CH,,,32.267,91.667,4724.0,19801001,19971231
552990,99999,NAGQU,CH,,,31.483,92.067,4508.0,19560820,20230505
553850,99999,BOGUS CHINESE,CH,,,31.48,92.06,-999.0,20010717,20011008
554370,99999,T'U-KO-ERH-HO-KUNG,CH,,,30.55,81.433,4736.0,19730313,19971231
554720,99999,XAINZA,CH,,,30.95,88.633,4670.0,19600307,20230428
554880,99999,DEQEN SOUTH,CH,,,30.333,90.083,5304.0,19591210,19620630
554930,99999,ZHA-TE-KE-TANG,CH,,,30.733,92.45,4724.0,19630101,19971231
555690,99999,LHAZE,CH,,,29.067,87.683,4237.0,19801001,19971231
555780,99999,XIGAZE,CH,,,29.25,88.883,3837.0,19570701,20230505
555850,99999,BOGUS CHINESE,CH,,,29.5,90.25,-999.0,19801027,19971231
555910,99999,LHASA,CH,,ZULS,29.667,91.133,3650.0,19560820,20230505
555980,99999,NEDONG,CH,,,29.233,91.767,3657.0,19591209,19971231
556560,99999,YALEP,CH,,,28.383,86.15,5181.0,19800902,20020607
556640,99999,TINGRI,CH,,,28.633,87.083,4300.0,19591210,20230505
556800,99999,GYANGZE,CH,,,29.0,89.633,3657.0,19591209,19971231
556900,99999,CHE-KU,CH,,,28.7,91.633,4336.0,19870311,19971231
556960,99999,LHUNZE,CH,,,28.417,92.467,3861.0,19591209,20230428
557730,99999,PAGRI,CH,,,27.733,89.083,4300.0,19560820,20230505
560040,99999,TUOTUOHE,CH,,,34.217,92.433,4535.0,19570701,20230505
560070,99999,AMDO NORTHEAST,CH,,,33.417,92.833,4648.0,19591209,19620331
560160,99999,BIE-LI-XI-DU,CH,,,34.1,95.033,4785.0,19730101,20030305
560180,99999,ZADOI,CH,,,32.9,95.3,4068.0,19570701,20230505
560210,99999,QUMARLEB,CH,,,34.133,95.783,4176.0,19570701,20230505
560290,99999,YUSHU,CH,,,33.017,96.95,3682.0,19560820,20230505
560295,99999,YUSHU BATANG AIRPORT,CH,,ZLYS,32.817,97.133,3890.0,20100415,20150310
560310,99999,APPROXIMATE LOCALE,CH,,,34.833,97.467,0.0,19740809,20011017
560330,99999,MADOI,CH,,,34.917,98.217,4273.0,19560820,20230505
560340,99999,QINGSHUI-HE,CH,,,33.8,97.133,4419.0,19570701,19971231
560380,99999,SHIQU,CH,,,32.983,98.1,4114.0,19601001,19971231
560410,99999,UNKNOWN,CH,,,34.5,98.883,4175.0,19600102,19971121
560460,99999,DARLAG,CH,,,33.75,99.65,3968.0,19560820,20230505
560650,99999,HENAN,CH,,,34.733,101.6,3501.0,19610901,20230505
560670,99999,JIGZHI,CH,,,33.467,101.483,3350.0,19600706,19971231
560740,99999,GA-HAI,CH,,,34.2,102.3,3109.0,19890101,19970514
560750,99999,LANG-MU-SI,CH,,,34.1,102.617,3565.0,19570630,20020704
560760,99999,XAGDOMBA EAST,CH,,,34.1,102.9,3330.0,19740518,19741025
560790,99999,RUO'ERGAI,CH,,,33.583,102.967,3441.0,19591209,20230505
560800,99999,HEZUO,CH,,,35.0,102.9,2910.0,19580506,20230505
560850,99999,DENGKAGOIN,CH,,,34.04,103.333,3166.0,19731005,19740924
560930,99999,WU-SHAN,CH,,,34.717,104.883,1371.0,19560820,19971231
560960,99999,WUDU,CH,,,33.4,104.917,1079.0,19560820,20230505
560970,99999,YUNG-FENG-HSIANG N,CH,,,33.033,104.117,2712.0,19591209,19610327
561060,99999,SOG XIAN,CH,,,31.883,93.783,4024.0,19570701,20230428
561070,99999,TANGGO WEST,CH,,,31.55,92.867,4185.0,19731108,19740920
561160,99999,DENGQEN,CH,,,31.417,95.6,3874.0,19560820,20230505
561250,99999,NANGQEN,CH,,,32.25,96.217,4145.0,19591203,20210613
561320,99999,GAO-RIK,CH,,,32.5,97.933,3657.0,19591209,20220314
561370,99999,QAMDO,CH,,,31.15,97.167,3307.0,19560820,20230505
561430,99999,DARCANG WEST,CH,,,32.783,99.917,4147.0,19600201,19610227
561440,99999,DEGE,CH,,,31.733,98.567,3201.0,19570701,20230505
561460,99999,GARZE,CH,,,31.617,100.0,3394.0,19560820,20230505
561510,99999,LUO-XUE,CH,,,32.567,100.583,3505.0,19730101,19971107
561520,99999,SERTAR,CH,,,32.283,100.333,3896.0,19610105,20230505
561670,99999,DAWU,CH,,,30.983,101.117,2959.0,19790701,20230505
561710,99999,A-BA,CH,,,32.917,101.7,3170.0,19570701,20020717
561720,99999,BARKAM,CH,,,31.9,102.233,2666.0,19560820,20230505
561730,99999,MA-TANG,CH,,,31.85,102.7,3422.0,19730101,19971231
561780,99999,XIAO-JIN,CH,,,31.017,102.367,2426.0,19560820,19971231
561820,99999,SONGPAN,CH,,,32.667,103.6,2882.5,19560820,20230505
561830,99999,ZHENJIANGGUAN,CH,,,32.333,103.733,2697.0,19560820,19750514
561870,99999,WENJIANG,CH,,,30.75,103.867,541.0,20050101,20230505
561880,99999,WENCHUAN,CH,,,31.483,103.583,2042.0,19591209,19971231
561930,99999,PINGWU,CH,,,32.417,104.517,894.0,19570701,19971231
561960,99999,MIANYANG,CH,,,31.45,104.733,522.0,19591209,20230505
562020,99999,JIA-LI,CH,,,30.783,93.4,4876.0,19591209,20120429
562270,99999,CHING-TO EAST,CH,,,30.1,95.783,5108.0,19560820,19570531
562470,99999,BATANG,CH,,,30.0,99.1,2589.0,19560820,20230505
562510,99999,XINLONG/NYAGRONG,CH,,,30.967,100.2,3500.0,19591209,19971231
562570,99999,LITANG,CH,,,30.0,100.267,3950.0,19560820,20230505
562650,99999,QIAN-NING,CH,,,30.5,101.483,3452.0,19570701,19840611
562870,99999,YA'AN,CH,,,29.983,103.0,629.0,19560820,20230505
562940,99999,SHUANGLIU,CH,,ZUUU,30.579,103.947,495.3,19560820,20230505
562970,99999,REN-SHOU,CH,,,30.0,104.133,610.0,19740806,20011204
562980,99999,ZIYANG SOUTHWEST,CH,,,30.117,104.617,383.0,19591201,19610227
563120,99999,NYINGCHI,CH,,,29.567,94.467,3001.0,19560820,20230505
563150,99999,DABBA SOUTHWEST,CH,,,29.033,100.167,4553.0,19570701,19631231
563570,99999,DAOCHENG,CH,,,29.05,100.3,3729.0,19640101,20230505
563740,99999,KANGDING,CH,,,30.05,101.967,2617.0,19570701,20230505
563760,99999,HAN-YUAN-CHIEH EAST,CH,,,29.583,102.717,2209.0,19601001,19610227
563850,99999,EMEI SHAN,CH,,,29.517,103.333,3049.0,19560820,20230505
563860,99999,LESHAN,CH,,,29.567,103.767,440.0,19591209,19971231
564410,99999,BAME NORTHWEST,CH,,,28.883,98.583,4413.0,19600101,19641231
564440,99999,DEQEN,CH,,,28.45,98.883,3320.0,19560820,20230505
564590,99999,TU-ZHA,CH,,,28.15,100.933,2743.0,19591209,19971231
564620,99999,JIULONG,CH,,,29.0,101.5,2994.0,19560820,20230505
564625,99999,DAYONG,CH,,ZGDY,29.133,100.483,900.0,20071010,20230409
564750,99999,YUEXE,CH,,,28.617,102.6,1736.0,19570701,19971231
564790,99999,JIAGU NORTH,CH,,,28.217,103.0,1892.0,19591209,19610227
564850,99999,HU-JIA-PU-ZIIA,CH,,,28.517,103.617,1485.0,19570701,19971231
564920,99999,YIBIN,CH,,,28.8,104.6,342.0,19440229,20230505
565330,99999,LA-WAN,CH,,,27.683,98.35,3352.0,19591209,19971231
565430,99999,ZHONGDIAN,CH,,,27.7,99.7,3001.0,19591209,19971231
565480,99999,WEIXI,CH,,,27.217,99.317,2743.0,19570701,19971231
565650,99999,YANYUAN,CH,,,27.433,101.533,2591.0,19591209,19971231
565710,99999,XICHANG,CH,,,27.9,102.267,1599.0,19440325,20230505
565760,99999,ZHAO-ZI-BA,CH,,,27.6,102.85,2347.0,19730101,20020316
565860,99999,ZHAOTONG,CH,,,27.333,103.75,1950.0,19450107,20230505
566510,99999,LIJING,CH,,,26.833,100.217,2382.0,19440131,20230505
566640,99999,LA-SHI,CH,,,26.367,101.217,1210.0,19591209,19971231
566710,99999,HUILI,CH,,,26.65,102.25,1788.0,19560820,20230505
566810,99999,APPROXIMATE LOCALE,CH,,,26.833,103.167,0.0,19801001,20020524
566840,99999,HUIZE,CH,,,26.4,103.25,2189.3,19570701,20230505
566910,99999,WEINING,CH,,,26.867,104.283,2236.0,19570701,20230505
567380,99999,MENG-KA,CH,,,25.217,97.867,2134.0,19740112,19890830
567410,99999,LIU-KU,CH,,,25.783,98.85,2377.0,19591209,19971231
567480,99999,BAOSHAN,CH,,,25.117,99.183,1649.0,19440326,20230505
567510,99999,DALI,CH,,,25.7,100.183,1992.0,19431130,20230505
567630,99999,YUANMOU,CH,,,25.733,101.867,1120.0,19560820,20230428
567680,99999,CHUXIONG,CH,,,25.017,101.517,1820.0,19440131,20230428
567760,99999,APPROXIMATE LOCALE,CH,,,25.633,102.967,0.0,19731113,20011229
567770,99999,JINSHAN NORTH,CH,,,25.15,102.083,1580.0,19740421,19741202
567860,99999,ZHANYI,CH,,,25.583,103.833,1900.0,19440109,20230505
567930,99999,PU-AN,CH,,,25.783,104.95,2133.0,19591209,19971231
690814,99999,FOB GAMBERI,AF,,,34.53,70.35,657.2,20010923,20011025
692534,99999,FORT CAMPBELL / TEST,US,KY,,36.667,87.5,114.0,19870427,19910405
692874,99999,SIALKOT,PK,,KQST,32.5,74.533,255.0,19890201,19981105
696494,99999,FOB SHINWAR,AF,,KQOW,34.183,70.817,653.0,19910217,20000216
697094,99999,FOB BOSTIC,AF,,KQVE,35.217,71.517,1042.0,19850423,19931109
749244,99999,DOOM-DOOMA,IN,,,27.567,95.567,130.0,19430331,19451015
749246,99999,BANSBERA NORTHEAST,IN,,,26.8,92.617,98.0,19431130,19451018
749247,99999,JHANZI WEST,IN,,,26.85,94.433,92.0,19431231,19440219
749250,99999,MORAN SOUTHWEST,IN,,,27.15,94.9,100.0,19440220,19450228
749251,99999,SADIYA,IN,,,27.85,95.667,130.0,19431231,19440430
749252,99999,DERGAON,IN,,,26.717,93.95,91.0,19440131,19450531
749253,99999,TANAI AIRPORT,BM,,VYTN,26.367,96.733,210.3,19440404,19440531
749254,99999,GUMSHEN SOUTHEAST,BM,,,26.55,97.55,1053.0,19440429,19441006
749255,99999,HPAUCHYE SOUTHEAST,BM,,,26.067,96.717,246.0,19440521,19450220
749256,99999,SHINGBWIYANG,BM,,,26.683,96.217,208.0,19440531,19450831
749257,99999,TINGRING,BM,,,25.8,96.65,187.0,19440602,19450910
749258,99999,SAHMAW,BM,,,25.233,96.783,179.0,19441031,19450430
749321,99999,YANG-CHIEH,CH,,,25.5,103.083,1955.0,19430217,19451031
749322,99999,YUN-NAN-I,CH,,,25.417,100.733,1967.0,19430108,19451018
749323,99999,XIQIAO,CH,,,25.0,103.583,1849.0,19440630,19451113
749336,99999,CHING-SHUI-PU NORTH,CH,,,30.25,104.033,481.0,19431231,19461031
749338,99999,AO-CHIA-CHANG NORTH,CH,,,31.117,104.0,500.0,19450131,19450831
749339,99999,QIONGLAI NORTHEAST,CH,,,30.45,103.533,539.0,19450131,19450228
749344,99999,LANCHOW CHINA,CH,,RLHW,36.0,103.75,1543.0,19451031,19461231
749345,99999,HUA-CHIAO SOUTHEAST,CH,,,30.417,103.917,486.0,19460430,19460831
